Hebrew_character,Names,Frequencies
אל,Alef_Lamed,800
כול,Kaf_Waw_Lamed,788
אשר,Alef_Shin_Resh,780
על,Ayin_Lamed,710
את,Alef_Taw,688
כי,Kaf_Yod,423
לוא,Lamed_Waw_Alef,361
עד,Ayin_Dalet,340
די,Dalet_Yod,339
מן,Mem-medial_Nun-final,338
לא,Lamed_Alef,286
איש,Alef_Yod_Shin,286
עם,Ayin_Mem,270
וכול,Waw_Kaf_Waw_Lamed,235
כיא,Kaf_Yod_Alef,234
ואת,Waw_Alef_Taw,217
ולוא,Waw_Lamed_Waw_Alef,217
בני,Bet_Nun-medial_Yod,213
כה,Kaf_He,209
לכול,Lamed_Kaf_Waw_Lamed,206
כל,Kaf_Lamed,198
בכול,Bet_Kaf_Waw_Lamed,186
לו,Lamed_Waw,185
ולא,Waw_Lamed_Alef,179
הוא,He_Waw_Alef,179
ישראל,Yod_Shin_Resh_Alef_Lamed,174
בו,Bet_Waw,156
לה,Lamed_He,154
לי,Lamed_Yod,152
ועל,Waw_Ayin_Lamed,134
יהוה,Yod_He_Waw_He,130
אם,Alef_Mem,128
או,Alef_Waw,127
בה,Bet_He,125
ואל,Waw_Alef_Lamed,120
הם,He_Mem,120
עולם,Ayin_Waw_Lamed_Mem,118
לכה,Lamed_Kaf_He,118
אתה,Alef_Taw_He,112
דן,Dalet_Nun-final,112
רוח,Resh_Waw_Het,101
אנשי,Alef_Nun-medial_Shin_Yod,96
לפני,Lamed_Pe_Nun-medial_Yod,94
קודש,Qof_Waw_Dalet_Shin,91
אמר,Alef_Mem-medial_Resh,90
ואין,Waw_Alef_Yod_Nun-final,90
מה,Mem-medial_He,88
וכל,Waw_Kaf_Lamed,88
אמת,Alef_Mem-medial_Taw,87
יום,Yod_Waw_Mem,85
דבר,Dalet_Bet_Resh,85
ביד,Bet_Yod_Dalet,83
הון,He_Waw_Nun-final,81
אלה,Alef_Lamed_He,80
ואם,Waw_Alef_Mem,79
מכול,Mem-medial_Kaf_Waw_Lamed,78
כבוד,Kaf_Bet_Waw_Dalet,76
אחד,Alef_Het_Dalet,75
שם,Shin_Mem,70
נו,Nun-medial_Waw,69
לך,Lamed_Kaf-final,69
עשר,Ayin_Shin_Resh,68
ואשר,Waw_Alef_Shin_Resh,67
יהיה,Yod_He_Yod_He,67
ומן,Waw_Mem-medial_Nun-final,67
כאשר,Kaf_Alef_Shin_Resh,67
עוד,Ayin_Waw_Dalet,65
כן,Kaf_Nun-final,65
בם,Bet_Mem,65
מלך,Mem-medial_Lamed_Kaf-final,65
יחד,Yod_Het_Dalet,65
להם,Lamed_He_Mem,64
יהיו,Yod_He_Yod_Waw,64
אדם,Alef_Dalet_Mem,64
משפט,Mem-medial_Shin_Pe_Tet,64
דעת,Dalet_Ayin_Taw,64
הארץ,He_Alef_Resh_Tasdi-final,64
שנה,Shin_Nun-medial_He,63
אין,Alef_Yod_Nun-final,61
צדק,Tsadi_Dalet_Qof,61
בין,Bet_Yod_Nun-final,60
ועם,Waw_Ayin_Mem,59
פי,Pe_Yod,59
עמו,Ayin_Mem-medial_Waw,59
המה,He_Mem-medial_He,58
בן,Bet_Nun-final,58
בכל,Bet_Kaf_Lamed,58
ביום,Bet_Yod_Waw_Mem,58
בשר,Bet_Shin_Resh,56
היחד,He_Yod_Het_Dalet,56
וו,Waw_Waw,56
הזה,He_Zayin_He,55
שנים,Shin_Nun-medial_Yod_Mem,55
עולמים,Ayin_Waw_Lamed_Mem-medial_Yod_Mem,55
הואה,He_Waw_Alef_He,55
בתוך,Bet_Taw_Waw_Kaf-final,54
ומה,Waw_Mem-medial_He,54
בית,Bet_Yod_Taw,53
התורה,He_Taw_Waw_Resh_He,53
אור,Alef_Waw_Resh,53
ואני,Waw_Alef_Nun-medial_Yod,50
ארעא,Alef_Resh_Ayin_Alef,50
לעשות,Lamed_Ayin_Shin_Waw_Taw,50
אמות,Alef_Mem-medial_Waw_Taw,49
ימים,Yod_Mem-medial_Yod_Mem,49
אחר,Alef_Het_Resh,49
דרך,Dalet_Resh_Kaf-final,49
לאין,Lamed_Alef_Yod_Nun-final,48
אנה,Alef_Nun-medial_He,48
בליעל,Bet_Lamed_Yod_Ayin_Lamed,47
ואתה,Waw_Alef_Taw_He,47
ברית,Bet_Resh_Yod_Taw,47
הו,He_Waw,46
ובכול,Waw_Bet_Kaf_Waw_Lamed,46
עליו,Ayin_Lamed_Yod_Waw,46
ארבע,Alef_Resh_Bet_Ayin,45
לכל,Lamed_Kaf_Lamed,45
מעשי,Mem-medial_Ayin_Shin_Yod,45
ועד,Waw_Ayin_Dalet,45
שבת,Shin_Bet_Taw,45
פלא,Pe_Lamed_Alef,44
הכוהנים,He_Kaf_Waw_He_Nun-medial_Yod_Mem,44
וא,Waw_Alef,44
היא,He_Yod_Alef,43
אני,Alef_Nun-medial_Yod,43
וכן,Waw_Kaf_Nun-final,43
עלי,Ayin_Lamed_Yod,43
עולה,Ayin_Waw_Lamed_He,42
מי,Mem-medial_Yod,42
ואמר,Waw_Alef_Mem-medial_Resh,42
אלי,Alef_Lamed_Yod,42
וגם,Waw_Gimel_Mem,42
רשעה,Resh_Shin_Ayin_He,41
אלוהים,Alef_Lamed_Waw_He_Yod_Mem,41
העם,He_Ayin_Mem,41
לב,Lamed_Bet,41
המלחמה,He_Mem-medial_Lamed_Het_Mem-medial_He,41
זה,Zayin_He,41
מים,Mem-medial_Yod_Mem,40
לפי,Lamed_Pe_Yod,40
ארץ,Alef_Resh_Tasdi-final,40
יבוא,Yod_Bet_Waw_Alef,40
באמה,Bet_Alef_Mem-medial_He,40
דברי,Dalet_Bet_Resh_Yod,40
והוא,Waw_He_Waw_Alef,40
היום,He_Yod_Waw_Mem,40
הימים,He_Yod_Mem-medial_Yod_Mem,39
פשרו,Pe_Shin_Resh_Waw,39
העדה,He_Ayin_Dalet_He,38
ואחר,Waw_Alef_Het_Resh,38
חד,Het_Dalet,38
לאל,Lamed_Alef_Lamed,38
יד,Yod_Dalet,38
רבים,Resh_Bet_Yod_Mem,38
בא,Bet_Alef,37
כתוב,Kaf_Taw_Waw_Bet,37
רע,Resh_Ayin,37
אות,Alef_Waw_Taw,36
שני,Shin_Nun-medial_Yod,36
נפש,Nun-medial_Pe_Shin,36
הרבים,He_Resh_Bet_Yod_Mem,36
ולכול,Waw_Lamed_Kaf_Waw_Lamed,36
היה,He_Yod_He,36
ובני,Waw_Bet_Nun-medial_Yod,36
בכה,Bet_Kaf_He,36
שבע,Shin_Bet_Ayin,35
שלום,Shin_Lamed_Waw_Mem,35
יהודה,Yod_He_Waw_Dalet_He,35
יעשה,Yod_Ayin_Shin_He,34
לבני,Lamed_Bet_Nun-medial_Yod,34
בארץ,Bet_Alef_Resh_Tasdi-final,34
נפשי,Nun-medial_Pe_Shin_Yod,33
לנו,Lamed_Nun-medial_Waw,33
חושך,Het_Waw_Shin_Kaf-final,33
אף,Alef_Pe-final,33
אשה,Alef_Shin_He,33
הכול,He_Kaf_Waw_Lamed,33
פני,Pe_Nun-medial_Yod,33
אמין,Alef_Mem-medial_Yod_Nun-final,33
כבודו,Kaf_Bet_Waw_Dalet_Waw,32
להמה,Lamed_He_Mem-medial_He,32
רוחי,Resh_Waw_Het_Yod,32
הכוהן,He_Kaf_Waw_He_Nun-final,32
מושה,Mem-medial_Waw_Shin_He,32
כלי,Kaf_Lamed_Yod,32
בי,Bet_Yod,31
שביעין,Shin_Bet_Yod_Ayin_Yod_Nun-final,31
רעהו,Resh_Ayin_He_Waw,31
עליהם,Ayin_Lamed_Yod_He_Mem,31
ברוך,Bet_Resh_Waw_Kaf-final,31
שמה,Shin_Mem-medial_He,31
עמי,Ayin_Mem-medial_Yod,31
אנוש,Alef_Nun-medial_Waw_Shin,31
מאות,Mem-medial_Alef_Waw_Taw,30
אלים,Alef_Lamed_Yod_Mem,30
כבודכה,Kaf_Bet_Waw_Dalet_Kaf_He,30
לאיש,Lamed_Alef_Yod_Shin,30
וכה,Waw_Kaf_He,30
תבל,Taw_Bet_Lamed,30
עמכה,Ayin_Mem-medial_Kaf_He,30
תרין,Taw_Resh_Yod_Nun-final,29
לבו,Lamed_Bet_Waw,29
עליון,Ayin_Lamed_Yod_Waw_Nun-final,29
יכתובו,Yod_Kaf_Taw_Waw_Bet_Waw,29
אש,Alef_Shin,29
ורוח,Waw_Resh_Waw_Het,29
טוב,Tet_Waw_Bet,29
תמיד,Taw_Mem-medial_Yod_Dalet,29
בעד,Bet_Ayin_Dalet,29
קדושים,Qof_Dalet_Waw_Shin_Yod_Mem,29
עת,Ayin_Taw,28
עשרה,Ayin_Shin_Resh_He,28
ודי,Waw_Dalet_Yod,28
ידו,Yod_Dalet_Waw,28
חי,Het_Yod,28
והיה,Waw_He_Yod_He,28
